id,unit,name,start,end,agency,acres,cause,start_year,duration,map_date
FKU-8628,Fresno,Highway,2000-08-13,2000-08-17,CDF,700,Arson,2000,5,2000-08-13
SHU-6728,Shasta,Union,2000-08-14,2000-08-15,CDF,350,Equip. Use,2000,2,2000-08-14
BTU-9072,Plumas,Storrie,2000-08-17,2000-09-09,USFS,55261,Railroad,2000,24,2000-08-17
SKU-3009,Siskiyou,"Corp. #15, Cooley",2000-08-17,2000-08-17,CDF,600,Railroad,2000,1,2000-08-17
SLU-3684,San Luis Obispo,Blech,2000-08-21,2000-08-21,CDF,463,Undetermined,2000,1,2000-08-21
MMU-12981,Mariposa,Hunter,2000-08-27,2000-09-04,CDF,8084,Equip. Use,2000,9,2000-08-27
MMU-12981,Mariposa,Hunter,2000-08-27,2000-09-04,CDF,8084,Equip. Use,2000,9,2000-08-27
FKU-9369,Fresno,FKU 9369,2000-08-30,2000-08-31,LOCAL,300,Undetermined,2000,2,2000-08-30
FKU-9369,Fresno,FKU 9369,2000-08-30,2000-08-31,LOCAL,300,Undetermined,2000,2,2000-08-30
RRU-58237,Riverside fire#1454,Black Ranch,2000-09-09,2000-09-11,CDF,475,Shooting,2000,3,2000-09-09
RRU-58237,Riverside fire#1454,Black Ranch,2000-09-09,2000-09-11,CDF,475,Shooting,2000,3,2000-09-09
ORC-50963,Orange,TRW Fire,2000-09-10,2000-09-10,CC,480,Under Invest.,2000,1,2000-09-10
ORC-50963,Orange,TRW Fire,2000-09-10,2000-09-10,CC,480,Under Invest.,2000,1,2000-09-10
SBC-5687,Santa Barbara,Harris,2000-09-13,2000-09-18,CC,9700,Under Invest.,2000,6,2000-09-13
SBC-5687,Santa Barbara,Harris,2000-09-13,2000-09-18,CC,9700,Under Invest.,2000,6,2000-09-13
BDU-7525,Los Angeles LAC162392,Yucca,2000-09-13,2000-09-13,CC,868,Under Invest.,2000,1,2000-09-13
BDU-7525,Los Angeles LAC162392,Yucca,2000-09-13,2000-09-13,CC,868,Under Invest.,2000,1,2000-09-13
BDU-8329,Los Angeles,Paradise,2000-09-13,2000-09-13,USFS,427,Under Invest.,2000,1,2000-09-13
BDU-8329,Los Angeles,Paradise,2000-09-13,2000-09-13,USFS,427,Under Invest.,2000,1,2000-09-13
MVU-6514,San Diego,Lyons,2000-09-13,2000-09-14,USFS,400,Arson,2000,2,2000-09-13
MVU-6514,San Diego,Lyons,2000-09-13,2000-09-14,USFS,400,Arson,2000,2,2000-09-13
BTU-10476,Butte,Concow,2000-09-19,2000-09-22,CDF,1835,Equip. Use,2000,4,2000-09-19
BTU-10476,Butte,Concow,2000-09-19,2000-09-22,CDF,1835,Equip. Use,2000,4,2000-09-19
LNU-6288,Yolo,Sixteen,2000-09-21,2002-07-09,CDF,400,Arson,2000,657,2000-09-21
LNU-6288,Yolo,Sixteen,2000-09-21,2002-07-09,CDF,400,Arson,2000,657,2000-09-21
TGU-3715,Tehama (3 exp),Weinstein,2000-09-29,2000-10-02,CDF,8284,escape control,2000,4,2000-09-29
TGU-3715,Tehama (3 exp),Weinstein,2000-09-29,2000-10-02,CDF,8284,escape control,2000,4,2000-09-29
FKU-10923,Fresno,Worsham,2000-10-06,2000-10-06,LOCAL,500,Vehicle,2000,1,2000-10-06
FKU-10923,Fresno,Worsham,2000-10-06,2000-10-06,LOCAL,500,Vehicle,2000,1,2000-10-06
LNU-7151,Lake,Hidden,2000-10-21,2000-10-27,CDF,4500,Elec. Power,2000,7,2000-10-21
LNU-7151,Lake,Hidden,2000-10-21,2000-10-27,CDF,4500,Elec. Power,2000,7,2000-10-21
AEU-14243,El Dorado,Latrobe,2000-10-21,2000-10-21,CDF,750,Elec. Power,2000,1,2000-10-21
AEU-14243,El Dorado,Latrobe,2000-10-21,2000-10-21,CDF,750,Elec. Power,2000,1,2000-10-21
FKU-19,Sequoia NF,USFS #1,2001-01-01,2001-01-04,USFS,303,na,2001,4,2000-01-01
MVU-53,San Diego,Viejas,2001-01-03,2001-01-08,CDF,10353,Smoking,2001,6,2000-01-03
SKU-1500,Siskiyou,Jones,2001-05-09,2001-05-14,USFS,1440,Debris,2001,6,2000-05-09
TGU-2166,Tehama,M-9 Fire,2001-05-09,2001-05-09,USFS,351,Under Invest.,2001,1,2000-05-09
BTU-5556,Butte,Larkin,2001-05-20,2001-05-21,LOCAL,400,Equip. Use,2001,2,2000-05-20
LMU-00993,Lassen-Modoc,Hilton,2001-05-20,2001-05-23,CDF,390,Debris,2001,4,2000-05-20
SQF-622,Tulare,White,2001-05-23,2001-05-26,USFS,332,Under Invest.,2001,4,2000-05-23
LMU-01100,Lassen,Devil,2001-05-27,2001-06-01,CDF,4400,Equip. Use,2001,6,2000-05-27
TGU-2791,Tehama,Freeman,2001-05-29,2001-05-29,CDF,390,Vehicle,2001,1,2000-05-29
SHU-4405,Trinity,Big,2001-06-02,2001-06-03,USFS,800,Under Invest.,2001,2,2000-06-02
4269 no rept.,Imperial,Powerline,2001-06-03,2001-06-03,BLM,777,Under Invest.,2001,1,2000-06-03
HUU-002020,Humboldt,Flat,2001-06-05,2001-06-05,CDF,300,Campfire,2001,1,2000-06-05
AEU-8312,Amador,Jackson,2001-06-13,2001-06-13,CDF,2240,Welding,2001,1,2000-06-13
MMU-9668,Madera-Mariposa,165,2001-06-13,2001-06-13,LOCAL,1500,Undetermined,2001,1,2000-06-13
MMU-9668,Merced,Assist SNF-562,2001-06-13,2001-06-13,LOCAL,1200,Under Invest.,2001,1,2000-06-13
BEU-2101,San Benito,San Benito Cattle Co.,2001-06-13,2001-06-13,CDF,580,Arson,2001,1,2000-06-13
MMU-9689,Merced,Merced Falls Fire,2001-06-13,2001-06-14,CDF,400,Weadeater,2001,2,2000-06-13
TGU-3132,Tehama,Hog,2001-06-13,2001-06-13,CDF,340,Equip. Use,2001,1,2000-06-13
BDU-4825,San Bernardino,Hemlock,2001-06-14,2001-06-20,USFS,1074,Escape,2001,7,2000-06-14
MMU-9893,Merced,Pacheco,2001-06-16,2001-06-17,CDF,1550,Vehicle,2001,2,2000-06-16
BDU4918,San Bernardino,Shinn,2001-06-16,2001-06-18,USFS,300,Under Invest.,2001,3,2000-06-16
NEU-9855,Nevada,Martis,2001-06-17,2001-07-01,DF/USF,14500,Campfire,2001,15,2000-06-17
TGU-3255,Tehama,Red Bank,2001-06-17,2001-06-17,CDF,650,Vehicle,2001,1,2000-06-17
RRU-41162,Riverside Palm Spgs.,Tram,2001-06-17,2001-06-18,CDF,393,Arson,2001,2,2000-06-17
SQF-1152,Kern,Canyon,2001-06-18,2001-06-19,USFS,566,Under Invest.,2001,2,2000-06-18
RRU-42668,Riverside,Watkins,2001-06-23,2001-06-24,CDF,1407,Arson,2001,2,2000-06-23
MEU-4411,Mendocino,Ridge,2001-06-23,2001-06-25,CDF,610,Equip. Use,2001,3,2000-06-23
SQF-1225,Tulare Sequoia NF,Democrat,2001-06-23,2001-06-25,USFS,550,Under Invest.,2001,3,2000-06-23
AEU-8916,Amador,Bevan,2001-06-23,2001-06-23,CDF,500,Equip. Use,2001,1,2000-06-23
TUU-6158,Tulare,Vander Bowen,2001-06-29,2001-06-29,CDF,596,Vehicle,2001,1,2000-06-29
MMU-10898,Merced,McNamammara,2001-07-01,2001-07-01,LOCAL,700,Undetermined,2001,1,2000-07-01
BDU5620,Inyo NF,McLaughlin,2001-07-02,2001-07-05,USFS,2900,Lightning,2001,4,2000-07-02
TCU-4586,Calaveras,Lake,2001-07-03,2001-07-03,CDF,550,Misc.,2001,1,2000-07-03
AEU-9653,Sacramento,Payen,2001-07-05,2001-07-05,CDF,300,Elec. Power,2001,1,2000-07-05
AEU-9735,Amador,Sixteen,2001-07-06,2001-07-06,CDF,550,Undetermined,2001,1,2000-07-06
